P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Splachnales	Rhizogoniales	Rhabdoweisiales	7.469210569393821	4.063416270128073e-14	0.6245798570400846	11051359.75	464762.5	267165.25	315981.0	56418.0	414322.75	195826.0	60008.0	395725.75	4261710.0	378782.0	67781.75	201345.0	328944.25	51379.0
Splachnales	Rhizogoniales	Funariales	5.446937477557574	2.568274426462125e-08	0.8206469186443703	3932961.5	278986.0	94138.0	107572.25	29796.75	136858.25	76921.75	30754.5	217166.0	1394883.5	220065.5	30467.75	69748.75	108906.5	25299.0
Splachnales	Rhizogoniales	Gigaspermales	7.264596003633418	1.8851586958135158e-13	0.705557872934137	1026165.0	43623.75	23357.0	27972.75	5811.25	36904.0	17737.5	5666.75	42263.75	389087.5	37060.5	6518.25	17788.5	29705.25	4311.25
Splachnales	Rhizogoniales	Erpodiales	6.683295111294148	1.1745382444416919e-11	0.768173716730038	2186065.0	129643.0	54662.5	59657.5	13284.5	80010.5	40147.0	14737.0	104796.5	803280.0	102155.5	16205.5	39926.5	61573.0	12224.0
Splachnales	Rhizogoniales	Hookeriales	10.048214519458249	0.0	0.44307734428951095	8000050.0	332263.75	144021.25	272024.5	42772.0	324123.25	112344.75	43085.25	239383.0	3151155.0	269562.25	40537.5	116663.5	276843.75	34540.25
Splachnales	Rhizogoniales	Catoscopiales	7.652770242897714	9.992007221626409e-15	0.44762346774413714	1116311.5	36251.25	25316.0	33802.5	4988.5	42724.0	18627.75	5396.5	30924.75	443543.75	31012.75	5497.25	19260.5	35863.25	4301.75
Splachnales	Rhizogoniales	Pleurophascales	6.774160541960892	6.292522058970462e-12	0.6524183831545126	603050.5	26635.75	13529.75	17176.25	3027.5	22208.5	9603.75	3482.0	23817.5	233146.5	21582.75	3152.75	10636.5	17813.75	2635.25
Splachnales	Rhizogoniales	Hypopterygiales	9.847575483291385	0.0	0.39327600198958085	1134802.0	40368.25	21072.0	38542.0	5423.0	46762.0	15365.75	5829.5	30388.5	450522.0	34496.75	5092.5	16453.25	39922.5	4916.0
Rhizogoniales	Rhabdoweisiales	Bruchiales	7.183555398425917	3.419486915845482e-13	0.26887864071066125	2639354.75	65407.25	55514.0	103544.5	11328.0	124514.0	36364.5	9467.75	61070.75	1044274.25	54207.0	12488.5	38748.5	102934.5	9039.75
Bruchiales	Rhizogoniales	Hookeriales	9.882397005791425	0.0	0.2972563039256044	1822610.0	76788.25	36540.0	89317.75	13269.0	90343.0	25727.0	10839.75	52625.5	678556.0	58668.25	10209.0	25887.0	78293.75	8739.75
Rhizogoniales	Catoscopiales	Bruchiales	10.404181356624658	0.0	0.5313635131471943	259282.5	8833.5	4944.75	7808.25	1122.0	9686.75	3486.25	1028.0	8386.75	102727.0	7417.25	1315.25	3714.5	7805.5	932.75
Bruchiales	Rhizogoniales	Hypopterygiales	9.358156908177246	0.0	0.25411736488647263	258755.5	9592.25	5285.0	12780.75	1686.5	13077.0	3451.25	1455.0	6629.75	96976.0	7576.5	1296.25	3620.25	11310.75	1267.25
Rhizogoniales	Archidiales	Erpodiales	5.449229563768365	2.5354090826823494e-08	0.3462340559677967	1629061.25	68090.75	46708.75	59477.75	10425.0	72790.25	35887.75	9515.5	48381.0	617634.75	49616.25	9459.25	33257.0	58800.5	7519.25
Archidiales	Rhizogoniales	Hookeriales	11.030627348575521	0.0	0.3244934516265315	5866838.5	249696.75	111140.75	280436.5	40623.5	305921.75	80571.0	36697.0	176580.5	2216756.25	194465.25	33620.0	83787.5	252676.5	29145.25
Rhizogoniales	Catoscopiales	Archidiales	10.445815982513762	0.0	0.4560545505539195	839900.75	29478.25	15924.75	26599.0	3321.75	32635.5	11083.5	3247.5	24092.0	339624.0	22299.5	3581.0	11461.25	27854.75	2551.5
Archidiales	Rhizogoniales	Hypopterygiales	10.612376834982374	0.0	0.2851789429493946	832635.0	30951.5	15941.0	39955.0	5132.5	44203.5	11008.5	4634.0	22556.75	317247.25	25444.75	4282.75	11209.25	36978.75	4137.5
Rhizogoniales	Rhabdoweisiales	Erpodiales	9.794808406416383	0.0	0.34533855100214017	3022879.25	117967.75	61818.75	120397.75	16249.5	141455.0	44153.75	14322.25	84373.0	1178812.25	86641.75	14778.0	43998.0	117575.25	12160.75
Rhabdoweisiales	Rhizogoniales	Hookeriales	11.297034034486535	0.0	0.3785513585744304	10745746.25	467241.5	199164.25	452348.25	69672.25	505734.0	144477.0	62124.75	332014.75	4142713.5	365008.75	56510.75	150492.5	424793.0	49554.5
Rhizogoniales	Catoscopiales	Rhabdoweisiales	8.146244324326133	2.220446049250313e-16	0.31711028234280153	1544863.75	44443.0	26907.0	51308.0	5300.25	61298.5	19218.5	5091.75	34119.75	639537.25	34595.75	5799.75	20857.25	52378.75	3895.75
Rhabdoweisiales	Rhizogoniales	Hypopterygiales	11.191288937516855	0.0	0.3384249718049601	1526633.25	57893.5	28525.0	64588.5	8740.5	73144.0	19566.5	7967.25	42597.25	593138.5	48079.5	6954.5	20356.75	62363.25	6873.75
Funariales	Rhizogoniales	Erpodiales	4.790207136271896	8.34110922109943e-07	0.3399186145141029	1052545.5	51262.5	37507.25	45283.75	10126.0	64708.5	29914.25	10890.25	37829.0	364009.0	36302.0	11107.25	28038.5	47023.75	7781.5
Funariales	Rhizogoniales	Hookeriales	8.72910225763492	0.0	0.22058739205724834	3795737.75	150792.75	72622.0	230357.75	31946.25	286486.75	60447.75	31411.5	108535.25	1353447.75	116426.0	29543.75	55674.25	231208.5	24358.0
Rhizogoniales	Catoscopiales	Funariales	7.273743190981077	1.7608137170554983e-13	0.7672555974785928	537166.5	34815.5	12276.5	14140.75	3548.25	17571.75	8990.0	3818.75	25969.75	200912.0	26817.25	3171.5	9387.5	13992.0	2617.0
Funariales	Rhizogoniales	Hypopterygiales	8.234854244013372	1.1102230246251565e-16	0.18721223883263366	538239.25	19039.75	10307.0	33119.0	4114.5	41242.75	8095.5	4120.25	13859.25	193380.25	15426.0	3744.25	7278.0	33568.25	3261.0
